Student_ID,First_Name,Last_Name,Age,Gender,Course,Enrollment_Date,Total_Payments,Full_Name,Enrollment_Year,Enrollment_Month,Payment_Tier,Gender_Encoded,Course_Cyber Security,Course_Data Analysis,Course_Data Science,Course_Machine Learning,Course_Web Development,Age_MinMax,Total_Payments_MinMax,Age_Scaled,Total_Payments_Scaled
101,John,Smith,22.0,M,Data Science,2022-05-15,1200.0,John Smith,2022,May,Low,1,0,0,1,0,0,0.5,8.23356087236224e-05,-0.061227091959688104,-0.44035928657837553
102,Emily,Johnson,24.0,F,Machine Learning,2022-03-18,1400.0,Emily Johnson,2022,March,Medium,0,0,0,0,1,0,0.75,0.0001372260145393707,1.058354018160323,-0.4400764908990322
103,Michael,Williams,21.0,M,Data Science,2022-06-25,900.0,Michael Williams,2022,June,Low,1,0,0,1,0,0,0.375,0.0,-0.6210176470196936,-0.44078348009739043
104,Sarah,Brown,23.0,F,Data Science,2022-03-18,1100.0,Sarah Brown,2022,March,Low,0,0,0,1,0,0,0.625,5.489040581574823e-05,0.49856346310031746,-0.44050068441804713
105,David,Davis,20.0,M,Web Development,2021-09-10,950.0,David Davis,2021,September,Low,1,0,0,0,0,1,0.25,1.372260145393703e-05,-1.1808082020796993,-0.44071278117755464
106,Jessica,Miller,25.0,F,Machine Learning,2022-04-22,1300.0,Jessica Miller,2022,April,Medium,0,0,0,0,1,0,0.875,0.00010978081163149652,1.6181445732203286,-0.4402178887387039
107,Brian,Wilson,19.0,M,Data Science,2022-07-02,1000.0,Brian Wilson,2022,July,Low,1,0,0,1,0,0,0.125,2.7445202907874116e-05,-1.7405987571397048,-0.4406420822577188
108,Amanda,Taylor,22.0,F,Machine Learning,2022-08-15,1200.0,Amanda Taylor,2022,August,Low,0,0,0,0,1,0,0.5,8.23356087236224e-05,-0.061227091959688104,-0.44035928657837553
109,William,Anderson,24.0,M,Data Science,2022-01-10,950.0,William Anderson,2022,January,Low,1,0,0,1,0,0,0.75,1.372260145393703e-05,1.058354018160323,-0.44071278117755464
110,Olivia,Martinez,26.0,F,Data Science,2023-02-28,1150.0,Olivia Martinez,2023,February,Low,0,0,0,1,0,0,1.0,6.861300726968532e-05,2.177935128280334,-0.44042998549821133
111,Williams,Smith,22.0,M,Data Science,2022-05-15,1200.0,Williams Smith,2022,May,Low,1,0,0,1,0,0,0.5,8.23356087236224e-05,-0.061227091959688104,-0.44035928657837553
112,Emily,Emodi,24.0,F,Machine Learning,2022-03-18,1400.0,Emily Emodi,2022,March,Medium,0,0,0,0,1,0,0.75,0.0001372260145393707,1.058354018160323,-0.4400764908990322
113,Esther,Adams,21.0,M,Data Science,2022-06-25,900.0,Esther Adams,2022,June,Low,1,0,0,1,0,0,0.375,0.0,-0.6210176470196936,-0.44078348009739043
114,Sarah,Brown,23.0,F,Data Science,2022-03-18,1100.0,Sarah Brown,2022,March,Low,0,0,0,1,0,0,0.625,5.489040581574823e-05,0.49856346310031746,-0.44050068441804713
115,David,Davis,20.0,M,Web Development,2021-09-10,950.0,David Davis,2021,September,Low,1,0,0,0,0,1,0.25,1.372260145393703e-05,-1.1808082020796993,-0.44071278117755464
